"a","b","c","bias","pop","bridge","scale"
-0.7,-0.6,-1,0.0895857753564815,0.0444857174091755,0.0451000579473061,0.5
-0.6,-0.6,-1,0.0865007557944026,0.0381040668896669,0.0483966889047357,0.5
-0.5,-0.6,-1,0.0834211970918044,0.0317317376036421,0.0516894594881623,0.5
-0.4,-0.6,-1,0.0803469964905458,0.0253684480178991,0.0549785484726467,0.5
-0.3,-0.6,-1,0.0772780504948373,0.0190139149670487,0.0582641355277885,0.5
-0.2,-0.6,-1,0.0742142548857303,0.0126678537064443,0.061546401179286,0.5
-0.1,-0.6,-1,0.0711555047357157,0.00632997796531071,0.064825526770405,0.5
0,-0.6,-1,0.0681016944233941,0,0.0681016944233941,0.5
0.1,-0.6,-1,0.0650527176482485,-0.00632236935259792,0.0713750870008464,0.5
0.2,-0.6,-1,0.0620084674454539,-0.0126374206215437,0.0746458880669976,0.5
0.3,-0.6,-1,0.0589688362008225,-0.0189454456481798,0.0779142818490023,0.5
0.4,-0.6,-1,0.055933715665765,-0.0252467375323774,0.0811804531981424,0.5
0.5,-0.6,-1,0.0529029969723651,-0.0315415905786613,0.0844445875510264,0.5
0.6,-0.6,-1,0.0498765706485004,-0.0378303002422392,0.0877068708907396,0.5
0.7,-0.6,-1,0.0468543266330578,-0.044113163074925,0.0909674897079828,0.5
0.8,-0.6,-1,0.0438361542911653,-0.0503904766710015,0.0942266309621668,0.5
0.9,-0.6,-1,0.0408219424295654,-0.056662539612951,0.0974844820425164,0.5
1,-0.6,-1,0.0378115793119674,-0.062929651417174,0.100741230729141,0.5
-1,-0.5,-1,0.0906696297870808,0.0636893861097366,0.0269802436773442,0.5
-0.9,-0.5,-1,0.0875718352277401,0.0572780998037031,0.030293735424037,0.5
-0.8,-0.5,-1,0.0844797179184226,0.0508769690103366,0.033602748908086,0.5
-0.7,-0.5,-1,0.0813931768332033,0.0444857174091755,0.0369074594240278,0.5
-0.6,-0.5,-1,0.0783121101776273,0.0381040668896669,0.0402080432879605,0.5
-0.5,-0.5,-1,0.0752364154030439,0.0317317376036421,0.0435046777994018,0.5
-0.4,-0.5,-1,0.0721659892209758,0.0253684480178991,0.0467975412030768,0.5
-0.3,-0.5,-1,0.0691007276176557,0.0190139149670487,0.050086812650607,0.5
-0.2,-0.5,-1,0.066040525868562,0.0126678537064443,0.0533726721621177,0.5
-0.1,-0.5,-1,0.0629852785530975,0.00632997796531071,0.0566553005877868,0.5
0,-0.5,-1,0.0599348795693407,0,0.0599348795693407,0.5
0.1,-0.5,-1,0.0568892221488482,-0.00632236935259792,0.0632115915014461,0.5
0.2,-0.5,-1,0.0538481988715672,-0.0126374206215437,0.0664856194931109,0.5
0.3,-0.5,-1,0.050811701680803,-0.0189454456481798,0.0697571473289827,0.5
0.4,-0.5,-1,0.0477796218982688,-0.0252467375323774,0.0730263594306463,0.5
0.5,-0.5,-1,0.0447518502391958,-0.0315415905786613,0.0762934408178571,0.5
0.6,-0.5,-1,0.0417282768275164,-0.0378303002422392,0.0795585770697556,0.5
