"cell","link","skew","summary","n_t","beta","method","bias","mcse","rmse"
41,"identity",1,"iqr",50,0.8,"sample_exact",-0.0013562851593718,0.00343032755033608,0.108430712738253
42,"logit",1,"iqr",50,0.8,"normal",-0.0207243159344406,0.00189383745638492,0.0633445416894447
42,"logit",1,"iqr",50,0.8,"lognormal",-0.00888965345628672,0.0014937098790597,0.0480412736318534
42,"logit",1,"iqr",50,0.8,"sample_exact",0.00102763258456671,0.00141762170568639,0.0448184970504549
43,"identity",0,"range",50,0.8,"normal",0.00477903506906295,0.00517047318327144,0.163492808166541
43,"identity",0,"range",50,0.8,"lognormal",-0.0291071018036341,0.00456251359411077,0.147115387167883
43,"identity",0,"range",50,0.8,"sample_exact",0.0026192703325058,0.00359700439405661,0.113720546724532
44,"logit",0,"range",50,0.8,"normal",-0.000374295930222513,0.00240866601119113,0.0761315334073687
44,"logit",0,"range",50,0.8,"lognormal",-0.0273685430380136,0.00217579701487851,0.0740161854281068
44,"logit",0,"range",50,0.8,"sample_exact",-0.00305210773517741,0.00194067017883405,0.061414574034995
45,"identity",0.5,"range",50,0.8,"normal",0.322150745181198,0.00938813827118228,0.437984138616274
45,"identity",0.5,"range",50,0.8,"lognormal",0.00981698491545895,0.00464751108134311,0.147221374415491
45,"identity",0.5,"range",50,0.8,"sample_exact",-0.00242042631149677,0.00360178233049928,0.113867122488758
46,"logit",0.5,"range",50,0.8,"normal",0.206491618452229,0.0023070900869517,0.21898888212798
46,"logit",0.5,"range",50,0.8,"lognormal",-0.00183695346133853,0.00200490844522425,0.0633956829277586
46,"logit",0.5,"range",50,0.8,"sample_exact",-0.00100622562588746,0.00173307395702501,0.0547864425308669
47,"identity",1,"range",50,0.8,"normal",0.544952244772819,0.0159328713921563,0.742007738161218
47,"identity",1,"range",50,0.8,"lognormal",0.0285501721276437,0.00522287924453914,0.16753000168314
47,"identity",1,"range",50,0.8,"sample_exact",-0.00446775075930743,0.0035409424492465,0.112007570959709
48,"logit",1,"range",50,0.8,"normal",0.288632097929063,0.00250715867891583,0.2993126237758
48,"logit",1,"range",50,0.8,"lognormal",-0.00369705433425735,0.00147907338838835,0.0468949745804474
48,"logit",1,"range",50,0.8,"sample_exact",-0.000960003527464797,0.00140154040503659,0.0443088343134406
49,"identity",0,"iqr",200,0.8,"normal",-0.00119630259790538,0.00197532313982219,0.062445422130978
49,"identity",0,"iqr",200,0.8,"lognormal",0.0302133646787624,0.0025398260307331,0.0857736145637747
49,"identity",0,"iqr",200,0.8,"sample_exact",2.00696378638876e-05,0.0018654043953015,0.0589597678696457
50,"logit",0,"iqr",200,0.8,"normal",0.00084059039510376,0.000973878310360568,0.03079280949572
50,"logit",0,"iqr",200,0.8,"lognormal",-0.00543066579645936,0.00103616204499134,0.033197142688641
50,"logit",0,"iqr",200,0.8,"sample_exact",0.000309293120392091,0.00095929295041447,0.030321912604328
51,"identity",0.5,"iqr",200,0.8,"normal",-0.123017204795932,0.00168834644392979,0.134092862885464
51,"identity",0.5,"iqr",200,0.8,"lognormal",0.00817423643841713,0.0033239334458785,0.105376957445298
51,"identity",0.5,"iqr",200,0.8,"sample_exact",0.00413238869029295,0.00177457773050271,0.0562410315673726
52,"logit",0.5,"iqr",200,0.8,"normal",0.0136144161613676,0.00093861082409594,0.032641409532155
52,"logit",0.5,"iqr",200,0.8,"lognormal",-0.00241226562055531,0.000908594382135813,0.0288190428869806
52,"logit",0.5,"iqr",200,0.8,"sample_exact",-0.000973257972991244,0.000853680077037298,0.0269997802831517
53,"identity",1,"iqr",200,0.8,"normal",-0.182151852188079,0.00106106032545603,0.185213445572373
53,"identity",1,"iqr",200,0.8,"lognormal",0.0149751951375095,0.00413471304880133,0.131540916118669
53,"identity",1,"iqr",200,0.8,"sample_exact",-0.000908377617336295,0.00176461893080636,0.0557816389225424
54,"logit",1,"iqr",200,0.8,"normal",-0.0238188027918311,0.000890364993496094,0.036868583350297
