"cell","method","n_ok","n_fail","bias","mcse","emp_se","mod_se","rmse","coverage","cov_mcse","ess","design","var_T","ratio","shift","em","exact_unadj"
26,"maic_means",1000,0,0.00478595277556608,0.00504643698619979,0.15958234944907,0.169558173260521,0.159574324605807,0.959,0.00627048642451286,379.102611788598,"unanchored",0.25,1,0.3,"none",0.250117649561104
26,"maic_meanvar",1000,0,0.00510532231404375,0.00506561455600888,0.160188797454906,0.170411627069788,0.160190058040907,0.965,0.00581162627841812,373.311317758317,"unanchored",0.25,1,0.3,"none",0.250117649561104
26,"maic_index",1000,0,0.00382065187618234,0.00506702349141033,0.160233351904353,0.170181122053726,0.160198781881138,0.961,0.00612200947402077,376.023347443228,"unanchored",0.25,1,0.3,"none",0.250117649561104
26,"gcomp",1000,0,0.00345159671924946,0.0050156883292383,0.158609991539175,0.16504445057069,0.158568237067054,0.959,0.00627048642451286,NA,"unanchored",0.25,1,0.3,"none",0.250117649561104
27,"maic_index",1000,0,-0.0035856916404616,0.00666693887237881,0.210827118578317,0.210780805160713,0.210752183947517,0.951,0.00682634602111555,758.598371526445,"anchored",1,1,0.3,"none",0.0121157396279423
27,"maic_means",1000,0,-0.00406730003501951,0.00666306252085982,0.210704537580202,0.210495725754519,0.210638431166549,0.95,0.00689202437604511,761.290770699945,"anchored",1,1,0.3,"none",0.0121157396279423
27,"gcomp",1000,0,-0.00345037117144942,0.00604512039896433,0.191163491906731,0.186922938119486,0.19109903772274,0.953,0.00669260786241059,NA,"anchored",1,1,0.3,"none",0.0121157396279423
27,"unadjusted",1000,0,0.00723400993777463,0.00623337365105252,0.197116582442056,0.196929209132996,0.197150762175402,0.95,0.00689202437604511,1000,"anchored",1,1,0.3,"none",0.0121157396279423
27,"maic_meanvar",1000,0,-0.00299293686439887,0.00666513059539979,0.210769935839375,0.211090387003627,0.21068578395078,0.951,0.00682634602111555,754.529910046194,"anchored",1,1,0.3,"none",0.0121157396279423
28,"maic_index",1000,0,0.00312350451528976,0.00462911549655545,0.146385485210965,0.158306492711242,0.146345610971516,0.971,0.00530650544143696,375.953712302917,"unanchored",1,1,0.3,"none",0.444632870741354
28,"gcomp",1000,0,0.00389805834716417,0.0046272596339565,0.146326797682596,0.146549499105921,0.146305553712773,0.947,0.00708456067798138,NA,"unanchored",1,1,0.3,"none",0.444632870741354
28,"unadjusted",1000,0,0.446965018453416,0.00464789267149183,0.146979271619189,0.146828455709084,0.470488077532772,0.133,0.0107382959542006,500,"unanchored",1,1,0.3,"none",0.444632870741354
28,"maic_meanvar",1000,0,0.00449681131949741,0.00465615199704772,0.147240454426124,0.158566262028075,0.147235501765828,0.965,0.00581162627841812,372.990953706129,"unanchored",1,1,0.3,"none",0.444632870741354
