"cell","em","align","shift","nA_ratio","method","contrast","bias","mcse","coverage","cov_mcse","width","emp_sd"
4,0.3,"opposite",0.3,0.5,"split","AC",-0.000735813128194482,0.0027491005595727,0.923,0.00843036179532053,0.30220520535536,0.0869341928509313
4,0.3,"opposite",0.3,0.5,"split_trial","AB",-0.00479971764449703,0.00497041509173227,0.941,0.00745110730026082,0.589439513927149,0.157178326063487
4,0.3,"opposite",0.3,0.5,"fixed_trial","AC",-0.000222600647392824,0.00447961134726317,0.945,0.00720936890441875,0.545461688930994,0.141657748896871
4,0.3,"opposite",0.3,0.5,"stacked","BC",0.000719328674082246,0.00259155363669004,0.953,0.00669260786241059,0.318048082599815,0.0819521217043303
4,0.3,"opposite",0.3,0.5,"fixed","AB",-0.0012940226442682,0.00347842957964818,0.955,0.00655553201502365,0.424071932573313,0.109997601521903
4,0.3,"opposite",0.3,0.5,"split_trial","BC",0.00457711699710424,0.00390966830373738,0.998,0.00141279864099595,0.800322785658824,0.123634567355771
4,0.3,"opposite",0.3,0.5,"split","AB",-0.000511843111157694,0.0037517638046248,0.918,0.00867617427210864,0.405781518752038,0.118641188655933
4,0.3,"opposite",0.3,0.5,"fixed_trial","AB",-0.00479971764449703,0.00497041509173227,0.945,0.00720936890441875,0.593913205095656,0.157178326063487
4,0.3,"opposite",0.3,0.5,"stacked","AC",-0.000167467546746466,0.00265377687395308,0.949,0.00695693898205238,0.327316379235324,0.0839197932357331
4,0.3,"opposite",0.3,0.5,"drop","AB",0.00186844580370788,0.00488243452083637,0.957,0.00641490451994416,0.617513958531642,0.154396136124757
4,0.3,"opposite",0.3,0.5,"fixed","BC",0.00126024194489442,0.00258956427216441,0.954,0.00662449998113065,0.322656951660649,0.0818892124743571
4,0.3,"opposite",0.3,0.5,"split","BC",-0.00022397001703677,0.00285720886125518,0.964,0.00589101010014412,0.375788581044023,0.0903528775238239
4,0.3,"opposite",0.3,0.5,"stacked_trial","AC",-0.000222600647392824,0.00447961134726317,0.94,0.00750999334220744,0.541210732461736,0.141657748896871
4,0.3,"opposite",0.3,0.5,"fixed_trial","BC",0.00457711699710424,0.00390966830373738,0.95,0.00689202437604511,0.478308581297539,0.123634567355771
4,0.3,"opposite",0.3,0.5,"drop","BC",-0.00233950831191488,0.00362095503909676,0.955,0.00655553201502365,0.452985817829756,0.114504652286098
4,0.3,"opposite",0.3,0.5,"stacked_trial","BC",0.00457711699710424,0.00390966830373738,0.942,0.00739161687318817,0.463172787565177,0.123634567355771
5,0.6,"opposite",0.3,0.5,"split_trial","AB",0.00362187380341077,0.00503373188557696,0.946,0.00714730718522718,0.624558205085674,0.159180578890373
5,0.6,"opposite",0.3,0.5,"fixed_trial","AB",0.00362187380341077,0.00503373188557696,0.95,0.00689202437604511,0.63663621123732,0.159180578890373
5,0.6,"opposite",0.3,0.5,"drop","AB",-0.0008749947684437,0.00522401268134831,0.943,0.00733150734842434,0.648732093776856,0.165197785986641
5,0.6,"opposite",0.3,0.5,"split","AB",0.00176208438189476,0.00388162253112569,0.926,0.00827792244467173,0.430301732942333,0.12274768215385
5,0.6,"opposite",0.3,0.5,"drop","AC",0.00499443283794108,0.00329515336738459,0.951,0.00682634602111555,0.416164691421393,0.104201898805089
5,0.6,"opposite",0.3,0.5,"fixed","AB",0.00217025699129952,0.00358378756765971,0.955,0.00655553201502365,0.450922484952549,0.113329313639995
5,0.6,"opposite",0.3,0.5,"fixed_trial","BC",0.000587377799097695,0.00380607120971215,0.966,0.00573096850453743,0.526031924609102,0.120358539594828
5,0.6,"opposite",0.3,0.5,"stacked","BC",0.00252009853286722,0.00275944565220427,0.95,0.00689202437604511,0.339258761976064,0.0872613334041433
5,0.6,"opposite",0.3,0.5,"drop","BC",0.00586942760638488,0.0041095968265915,0.939,0.00756828910652864,0.497383430185114,0.129956862370292
5,0.6,"opposite",0.3,0.5,"stacked_trial","AC",0.00420925160250837,0.00428980172575732,0.95,0.00689202437604511,0.532182764237529,0.135655441639141
5,0.6,"opposite",0.3,0.5,"stacked_trial","AB",0.00362187380341077,0.00503373188557696,0.946,0.00714730718522718,0.624558205085674,0.159180578890373
5,0.6,"opposite",0.3,0.5,"fixed","BC",0.00351296443895582,0.00278180504439234,0.957,0.00641490451994416,0.355864779741231,0.0879683994682561
5,0.6,"opposite",0.3,0.5,"stacked","AB",0.00288751938609359,0.00357411977031019,0.948,0.00702111102319284,0.444009720493295,0.113023591044181
5,0.6,"opposite",0.3,0.5,"split_trial","BC",0.000587377799097695,0.00380607120971215,1,0,0.820676280006441,0.120358539594828
