"cell","method","n_ok","n_fail","bias","bias_mcse","emp_se","mod_se","coverage","cov_mcse","width","realized_pred","arm_C_bias","arm_B_bias","rho0","drho","cv_t","cv_lam","n_arm","gamma","arm","predicted","pred_arm_C","pred_arm_B"
19,"sensitivity",1000,0,-0.00140943299559084,0.00351763850789265,0.11123749670057,NA,0.992,0.00281709069786544,0.606948949112022,-0.00204646228133465,-0.0520549883834482,-0.0546347555368933,-0.4,0.2,0.6,0.2,250,0.2,"main",-0.00180937628422782,-0.0491902441907718,-0.0509996204749996
19,"borrowed",1000,0,0.000915037946911948,0.00324926094537603,0.102750652996202,0.0991838723203061,0.95,0.00689202437604511,0.388793635190038,-0.00204646228133465,-0.0520549883834482,-0.0546347555368933,-0.4,0.2,0.6,0.2,250,0.2,"main",-0.00180937628422782,-0.0491902441907718,-0.0509996204749996
19,"unweighted",1000,0,-0.00140943299559084,0.00351763850789265,0.11123749670057,0.107431328855354,0.953,0.00669260786241059,0.421123070735544,-0.00204646228133465,-0.0520549883834482,-0.0546347555368933,-0.4,0.2,0.6,0.2,250,0.2,"main",-0.00180937628422782,-0.0491902441907718,-0.0509996204749996
20,"sensitivity",1000,0,-0.0309847840619637,0.00349010131086313,0.110366694070669,NA,0.996,0.00199599599197994,0.617984391731652,-0.0303066208706917,-0.0746735279497678,-0.105051827571077,-0.6,0.2,0.6,0.2,250,0.2,"main",-0.0300170923209658,-0.0747235461959365,-0.104740638516902
20,"unweighted",1000,0,-0.0309847840619637,0.00349010131086313,0.110366694070669,0.109653076135133,0.945,0.00720936890441875,0.429832160037779,-0.0303066208706917,-0.0746735279497678,-0.105051827571077,-0.6,0.2,0.6,0.2,250,0.2,"main",-0.0300170923209658,-0.0747235461959365,-0.104740638516902
20,"weighted",1000,0,9.10149375611596e-05,0.00307982718861688,0.0973926871574236,0.0969956450994657,0.951,0.00682634602111555,0.380215942104363,-0.0303066208706917,-0.0746735279497678,-0.105051827571077,-0.6,0.2,0.6,0.2,250,0.2,"main",-0.0300170923209658,-0.0747235461959365,-0.104740638516902
20,"borrowed",1000,0,-0.00154260845297666,0.00318958970076251,0.100863682558244,0.0970259019718576,0.946,0.00714730718522718,0.380334546864709,-0.0303066208706917,-0.0746735279497678,-0.105051827571077,-0.6,0.2,0.6,0.2,250,0.2,"main",-0.0300170923209658,-0.0747235461959365,-0.104740638516902
21,"unweighted",1000,0,0.0876830976728669,0.00341484200859209,0.107986785967753,0.102423966364811,0.847,0.0113838042850358,0.401494570457542,0.0938722347133199,0.000659271264877373,0.0911737374512798,0,0.4,0.6,0.2,250,0.2,"main",0.0948027216382826,0,0.0948027216382826
21,"borrowed",1000,0,-0.00771097019550682,0.00369353054686857,0.11679969135512,0.110682171564595,0.936,0.0077397674383666,0.43386613999458,0.0938722347133199,0.000659271264877373,0.0911737374512798,0,0.4,0.6,0.2,250,0.2,"main",0.0948027216382826,0,0.0948027216382826
21,"weighted",1000,0,-0.00708496169765,0.00359801489502969,0.113779221235055,0.110590291011764,0.944,0.00727076337120113,0.433505974845724,0.0938722347133199,0.000659271264877373,0.0911737374512798,0,0.4,0.6,0.2,250,0.2,"main",0.0948027216382826,0,0.0948027216382826
21,"sensitivity",1000,0,0.0876830976728669,0.00341484200859209,0.107986785967753,NA,0.947,0.00708456067798138,0.590988781427279,0.0938722347133199,0.000659271264877373,0.0911737374512798,0,0.4,0.6,0.2,250,0.2,"main",0.0948027216382826,0,0.0948027216382826
22,"borrowed",1000,0,-0.00172527854055033,0.00333152667584276,0.105352123812726,0.105729637177387,0.948,0.00702111102319284,0.41445256193233,0.0721614900032484,-0.0257196183180635,0.0440034634405332,-0.2,0.4,0.6,0.2,250,0.2,"main",0.0728170774346594,-0.0242926925690446,0.0485243848656148
22,"unweighted",1000,0,0.0712442487975262,0.00326874156410706,0.103366684250396,0.104298125916386,0.895,0.00969407035254026,0.408841140902278,0.0721614900032484,-0.0257196183180635,0.0440034634405332,-0.2,0.4,0.6,0.2,250,0.2,"main",0.0728170774346594,-0.0242926925690446,0.0485243848656148
22,"weighted",1000,0,-0.000911598132917078,0.00322717357366719,0.102052188974935,0.10563514298057,0.957,0.00641490451994416,0.414082151487313,0.0721614900032484,-0.0257196183180635,0.0440034634405332,-0.2,0.4,0.6,0.2,250,0.2,"main",0.0728170774346594,-0.0242926925690446,0.0485243848656148
22,"sensitivity",1000,0,0.0712442487975262,0.00326874156410706,0.103366684250396,NA,0.968,0.00556560868189635,0.596832096300411,0.0721614900032484,-0.0257196183180635,0.0440034634405332,-0.2,0.4,0.6,0.2,250,0.2,"main",0.0728170774346594,-0.0242926925690446,0.0485243848656148
23,"weighted",1000,0,0.00344627948854207,0.00318492836897032,0.100716278304314,0.101486270660271,0.953,0.00669260786241059,0.39781887083883,0.0476603124479743,-0.0504041403872374,-0.000177996981166481,-0.4,0.4,0.6,0.2,250,0.2,"main",0.0491902441907718,-0.0491902441907718,0
23,"borrowed",1000,0,0.00217287356605919,0.00327749096192717,0.103643364503061,0.101494493621125,0.948,0.00702111102319284,0.39785110425307,0.0476603124479743,-0.0504041403872374,-0.000177996981166481,-0.4,0.4,0.6,0.2,250,0.2,"main",0.0491902441907718,-0.0491902441907718,0
23,"sensitivity",1000,0,0.0510590698318604,0.00339199537359135,0.107264311933024,NA,0.982,0.00420428352992517,0.603679681852084,0.0476603124479743,-0.0504041403872374,-0.000177996981166481,-0.4,0.4,0.6,0.2,250,0.2,"main",0.0491902441907718,-0.0491902441907718,0
23,"unweighted",1000,0,0.0510590698318604,0.00339199537359135,0.107264311933024,0.106250541138636,0.916,0.00877177291087725,0.416494467939234,0.0476603124479743,-0.0504041403872374,-0.000177996981166481,-0.4,0.4,0.6,0.2,250,0.2,"main",0.0491902441907718,-0.0491902441907718,0
24,"sensitivity",1000,0,0.0230733273160621,0.00339263619558759,0.107284576503853,NA,0.993,0.00263647491928143,0.612149580475444,0.023810620812925,-0.0756772402354248,-0.050297559940258,-0.6,0.4,0.6,0.2,250,0.2,"main",0.0237239257209369,-0.0747235461959365,-0.0509996204749996
