"cell","ratio","skew","floor_mass","m","method","n","truth_mean","truth_near","truth_tail","bias_mean","mcse_mean","rmse_mean","bias_near","mcse_near","rmse_near","bias_tail","mcse_tail","rmse_tail"
20,2,"moderate",0.1,1,"tobit",1000,6.13008058083546,0.157245,0.2435375,0.209926990340475,0.0366142537283185,1.17615148419709,-0.0157526004650934,0.00099658036177405,0.0352182291784962,0.0375623300935675,0.00118684769513745,0.0530860385229464
21,1,"none",0.25,1,"logistic_responder",1000,5.79825355692587,0.24143,0.232335,-0.0651273130111832,0.0215266385143444,0.683501526305234,-0.00136546713204991,0.00128430313415684,0.0406158787465368,-0.0032923120154309,0.00158793661915498,0.0502977184587317
21,1,"none",0.25,1,"normal_pooled",1000,5.79825355692587,0.24143,0.232335,-0.0651273130111832,0.0215266385143444,0.683501526305234,0.0284688348298115,0.00104434589595274,0.0435894740575064,-0.000841419660647018,0.00092101940300877,0.02912278233657
21,1,"none",0.25,1,"normal_arm_sd",1000,5.79825355692587,0.24143,0.232335,-0.0651273130111832,0.0215266385143444,0.683501526305234,0.0247567188889211,0.00105447912849715,0.0415175798469603,0.0081801148082808,0.000950799646387159,0.0311453082482584
21,1,"none",0.25,1,"tobit",1000,5.79825355692587,0.24143,0.232335,-0.00533141313412572,0.0220710773841349,0.697620060208693,0.00165946722700556,0.000922494525752172,0.0292044343442941,-0.00155669240567712,0.000970645716200207,0.0307186302513202
22,2,"none",0.25,1,"normal_arm_sd",1000,6.47790560875348,0.1665175,0.287205,-0.0436324107339642,0.0331325463166272,1.04812768643161,0.0578870652256754,0.00120827150071775,0.0693496389310636,0.0293616734278143,0.00123143425064711,0.0487547100271836
22,2,"none",0.25,1,"logistic_responder",1000,6.47790560875348,0.1665175,0.287205,-0.0436324107339642,0.0331325463166272,1.04812768643161,-0.00319420989995559,0.00147875040223707,0.046847828404838,-0.00148336229697707,0.00174356401764757,0.0551287205715479
22,2,"none",0.25,1,"normal_pooled",1000,6.47790560875348,0.1665175,0.287205,-0.0436324107339642,0.0331325463166272,1.04812768643161,0.0893900556754848,0.0010585296816743,0.0954460405441984,-0.0598195248360181,0.00135364960070268,0.0735452950626213
22,2,"none",0.25,1,"tobit",1000,6.47790560875348,0.1665175,0.287205,0.0248703647889602,0.0342331903161025,1.08229290995738,0.00154863757991508,0.00113488786571924,0.0359037710504474,-0.00127599216880685,0.00114083296542636,0.0360808330164833
23,1,"moderate",0.25,1,"normal_pooled",1000,5.87338226987029,0.259335,0.210965,0.0384841619614607,0.0218167379281083,0.690633849801622,0.00136465921228296,0.001023693023293,0.0323845912942943,0.017836184351592,0.000884276234382106,0.0331555724797247
23,1,"moderate",0.25,1,"tobit",1000,5.87338226987029,0.259335,0.210965,0.00513245971631102,0.0228860489520537,0.723376670581727,-0.0241839827629956,0.000823396387189611,0.0355270129775546,0.0119880502491393,0.00105192412723473,0.0353433328064146
23,1,"moderate",0.25,1,"logistic_responder",1000,5.87338226987029,0.259335,0.210965,0.0384841619614607,0.0218167379281083,0.690633849801622,0.00228821034730361,0.00122839806204968,0.0388932994697296,-0.00443793998741446,0.00148845803379811,0.0472544931450084
23,1,"moderate",0.25,1,"normal_arm_sd",1000,5.87338226987029,0.259335,0.210965,0.0384841619614607,0.0218167379281083,0.690633849801622,-0.00176154044270074,0.000983469160522449,0.0311343444260563,0.0244307736523837,0.00100166762610718,0.039989966196685
24,2,"moderate",0.25,1,"normal_pooled",1000,6.2440536299712,0.157245,0.2435375,-0.0696752859747205,0.0327837870481226,1.03853577790998,0.0713723890268373,0.000988744334877692,0.0779144124009876,-0.0399640441956341,0.00121488266038847,0.0554219159458119
24,2,"moderate",0.25,1,"logistic_responder",1000,6.2440536299712,0.157245,0.2435375,-0.0696752859747205,0.0327837870481226,1.03853577790998,0.000855838956669244,0.00149876044298678,0.0473789936883027,-0.00373659391561251,0.0016579670017606,0.0525363479739341
24,2,"moderate",0.25,1,"normal_arm_sd",1000,6.2440536299712,0.157245,0.2435375,-0.0696752859747205,0.0327837870481226,1.03853577790998,0.0320612882739141,0.00112782636515448,0.047944202187654,0.0589559668431188,0.00120282179486612,0.0701508340388173
24,2,"moderate",0.25,1,"tobit",1000,6.2440536299712,0.157245,0.2435375,0.268240473974639,0.0344026372216208,1.11996020386118,-0.0198956625240536,0.000987057775240873,0.0370019750267851,0.030203550612142,0.00114007447962266,0.0470183423660173
