"margin","link","gamma","r","n","label","mean","sd","truth_family","truth","error","rmse"
"normal","identity",0.15,0.6,4096,"identity:0.15",-0.5,5.02397532989429e-17,"gumbel",-0.5,0,5.02397532989429e-17
"normal","identity",0.15,0.6,4096,"identity:0.15",-0.5,5.02397532989429e-17,"gauss",-0.5,0,5.02397532989429e-17
"normal","identity",0.3,0.6,64,"identity:0.3",-0.5,7.45591451864546e-17,"gauss",-0.5,0,7.45591451864546e-17
"normal","identity",0.3,0.6,64,"identity:0.3",-0.5,7.45591451864546e-17,"gumbel",-0.5,0,7.45591451864546e-17
"normal","identity",0.3,0.6,64,"identity:0.3",-0.5,7.45591451864546e-17,"clayton",-0.5,0,7.45591451864546e-17
"normal","identity",0.3,0.6,64,"identity:0.3",-0.5,7.45591451864546e-17,"t3",-0.5,0,7.45591451864546e-17
"normal","identity",0.3,0.6,256,"identity:0.3",-0.5,6.35731820128325e-17,"gauss",-0.5,0,6.35731820128325e-17
"normal","identity",0.3,0.6,256,"identity:0.3",-0.5,6.35731820128325e-17,"gumbel",-0.5,0,6.35731820128325e-17
"normal","identity",0.3,0.6,256,"identity:0.3",-0.5,6.35731820128325e-17,"clayton",-0.5,0,6.35731820128325e-17
"normal","identity",0.3,0.6,256,"identity:0.3",-0.5,6.35731820128325e-17,"t3",-0.5,0,6.35731820128325e-17
"normal","identity",0.3,0.6,1024,"identity:0.3",-0.5,6.0323652164806e-17,"gauss",-0.5,0,6.0323652164806e-17
"normal","identity",0.3,0.6,1024,"identity:0.3",-0.5,6.0323652164806e-17,"gumbel",-0.5,0,6.0323652164806e-17
"normal","identity",0.3,0.6,1024,"identity:0.3",-0.5,6.0323652164806e-17,"clayton",-0.5,0,6.0323652164806e-17
"normal","identity",0.3,0.6,1024,"identity:0.3",-0.5,6.0323652164806e-17,"t3",-0.5,0,6.0323652164806e-17
"normal","identity",0.3,0.6,4096,"identity:0.3",-0.5,5.86313890346493e-17,"gauss",-0.5,0,5.86313890346493e-17
"normal","identity",0.3,0.6,4096,"identity:0.3",-0.5,5.86313890346493e-17,"gumbel",-0.5,0,5.86313890346493e-17
