"margin","r","link","gamma","truth_family","recon","truth","error","mcse","env_lo","env_hi","contained"
"beta",0.3,"log",0.15,"gumbel","gauss_uncal",0.287481405765062,-0.258113669075901,0.00304802992283707,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"t3","sgumbel",0.211645986978655,-0.247676085534571,0.00278677694728904,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"gumbel","sgumbel",0.287481405765062,-0.323511504320979,0.00337150278946616,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.15,"gauss","sgumbel",0.0344519943350256,-0.0704820928909418,0.00349180171411537,-0.0761227891312062,0.287481405765062,TRUE
"beta",0.3,"log",0.3,"gauss","gumbel",0.726011170998606,0.628712169221055,0.00889658362124896,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"gumbel","sclayton",1.35472334021966,-0.135803652740839,0.00910627585096149,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"gumbel","gauss",1.35472334021966,-0.628712169221055,0.00889658362124896,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"gauss","clayton",0.726011170998606,-0.274417271423611,0.00644300944621502,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"gauss","sclayton",0.726011170998606,0.492908516480216,0.00920273059207605,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"clayton","gauss_uncal",0.451593899574995,0.264784760364764,0.0065719796440452,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"clayton","sgumbel",0.451593899574995,0.103952632915054,0.00685109407850534,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"gumbel","clayton",1.35472334021966,-0.903129440644666,0.00630447303487675,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"clayton","gumbel",0.451593899574995,0.903129440644666,0.00630447303487675,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"gumbel","gauss_uncal",1.35472334021966,-0.638344680279902,0.00899042523174537,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"clayton","sclayton",0.451593899574995,0.767325787903827,0.00672959363319548,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"gauss","gauss",0.726011170998606,0,0.00899528713307158,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"t3","sgumbel",1.19936336861681,-0.643816836126756,0.00700982016778373,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"clayton","gauss",0.451593899574995,0.274417271423611,0.00644300944621502,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"t3","gauss_uncal",1.19936336861681,-0.482984708677047,0.00673728470185736,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"t3","sclayton",1.19936336861681,0.0195563188620163,0.00689111886271611,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"gauss","gauss_uncal",0.726011170998606,-0.0096325110588471,0.00908810961224234,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"gumbel","sgumbel",1.35472334021966,-0.799176807729612,0.00919642971366553,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"t3","gauss",1.19936336861681,-0.4733521976182,0.00661153986875619,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"gauss","sgumbel",0.726011170998606,-0.170464638508557,0.00929194866295106,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"t3","clayton",1.19936336861681,-0.747769469041811,0.00207596713696664,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"log",0.3,"t3","gumbel",1.19936336861681,0.155359971602856,0.00647660937216571,0.451593899574995,1.35472334021966,TRUE
"beta",0.3,"logit",0.15,"clayton","gauss",-0.28870229600543,-0.00549999002418189,0.000121864764713316,-0.307152379707994,-0.28870229600543,TRUE
"beta",0.3,"logit",0.15,"gumbel","sgumbel",-0.307152379707994,0.0147736418494334,0.000226380582309223,-0.307152379707994,-0.28870229600543,TRUE
"beta",0.3,"logit",0.15,"gauss","sgumbel",-0.294202286029612,0.00182354817105046,0.000164506961110389,-0.307152379707994,-0.28870229600543,TRUE
"beta",0.3,"logit",0.15,"clayton","gumbel",-0.28870229600543,-0.0184500837025648,0.000197576943673901,-0.307152379707994,-0.28870229600543,TRUE
"beta",0.3,"logit",0.15,"gauss","gumbel",-0.294202286029612,-0.012950093678383,0.000184363963301506,-0.307152379707994,-0.28870229600543,TRUE
"beta",0.3,"logit",0.15,"t3","gauss_uncal",-0.304288611594595,0.00932208328038442,0.000226493718408195,-0.307152379707994,-0.28870229600543,TRUE
"beta",0.3,"logit",0.15,"gauss","sclayton",-0.294202286029612,-0.00955878445623959,0.000211226924643792,-0.307152379707994,-0.28870229600543,TRUE
"beta",0.3,"logit",0.15,"gumbel","gauss",-0.307152379707994,0.012950093678383,0.000184363963301506,-0.307152379707994,-0.28870229600543,TRUE
"beta",0.3,"logit",0.15,"gauss","gauss_uncal",-0.294202286029612,-0.000764242284599204,0.000234639642973025,-0.307152379707994,-0.28870229600543,TRUE
"beta",0.3,"logit",0.15,"t3","gumbel",-0.304288611594595,-0.00286376811339933,0.000173878444288247,-0.307152379707994,-0.28870229600543,TRUE
"beta",0.3,"logit",0.15,"gauss","clayton",-0.294202286029612,0.00549999002418189,0.000121864764713316,-0.307152379707994,-0.28870229600543,TRUE
"beta",0.3,"logit",0.15,"gumbel","gauss_uncal",-0.307152379707994,0.0121858513937838,0.000281498472193716,-0.307152379707994,-0.28870229600543,TRUE
"beta",0.3,"logit",0.15,"t3","gauss",-0.304288611594595,0.0100863255649836,7.77694386967854e-05,-0.307152379707994,-0.28870229600543,TRUE
"beta",0.3,"logit",0.15,"t3","sclayton",-0.304288611594595,0.000527541108744034,0.000202139694563775,-0.307152379707994,-0.28870229600543,TRUE
"beta",0.3,"logit",0.15,"t3","sgumbel",-0.304288611594595,0.0119098737360341,0.000152663625915399,-0.307152379707994,-0.28870229600543,TRUE
