"cell","gu","p_t","delta","bstar","dir","q","width","n","excluded","flip","fr_grid","ff_grid","fr_prob","ff_prob","fr_none","ff_none","qba_mc_disagree"
14,1,0.3,0.1,0,"symmetric",0,0.15,2000,0,0,NA,0.5545,NA,0.906,1,0,0.0085
15,0.5,0.5,0.1,0.0948723917686763,"symmetric",0,0.15,2000,0,0.165,0,0.45688622754491,0,0.88502994011976,1,0,0.008
16,1,0.5,0.1,0.186853393580291,"symmetric",0,0.15,2000,0,0.2545,0,0.459423205902079,0,0.873910127431254,1,0,0.014
17,0.5,0.7,0.1,0.188320960547489,"symmetric",0,0.15,2000,0,0.2415,0,0.457481872116018,0,0.865524060646012,1,0,0.01
18,1,0.7,0.1,0.372194219158153,"symmetric",0,0.15,2000,0,0.282,0,0.470055710306407,0,0.86908077994429,1,0,0.008
1,0.5,0.3,-0.3,0,"understated",0,0.15,2000,0,0,NA,0.2115,NA,0.6155,1,0,0.028
2,1,0.3,-0.3,0,"understated",0,0.15,2000,0,0,NA,0.236,NA,0.63,1,0,0.0225
3,0.5,0.5,-0.3,0.0948723917686763,"understated",0,0.15,2000,0,0.1035,0,0.155605131065254,0,0.567205800334635,1,0,0.023
4,1,0.5,-0.3,0.186853393580291,"understated",0,0.15,2000,0,0.256,0,0.0719086021505376,0,0.489247311827957,1,0,0.0265
5,0.5,0.7,-0.3,0.188320960547489,"understated",0,0.15,2000,0,0.235,0,0.0686274509803922,0,0.503921568627451,1,0,0.0235
6,1,0.7,-0.3,0.372194219158153,"understated",0,0.15,2000,0,0.6615,0,0.140324963072378,0,0.165435745937962,1,0,0
7,0.5,0.3,-0.1,0,"understated",0,0.15,2000,0,0,NA,0.5365,NA,0.903,1,0,0.0125
8,1,0.3,-0.1,0,"understated",0,0.15,2000,0,0,NA,0.5545,NA,0.9025,1,0,0.0125
9,0.5,0.5,-0.1,0.0948723917686763,"understated",0,0.15,2000,0,0.203,0,0.413425345043915,0,0.868255959849435,1,0,0.014
10,1,0.5,-0.1,0.186853393580291,"understated",0,0.15,2000,0,0.432,0,0.375,0,0.847711267605634,1,0,0.0115
11,0.5,0.7,-0.1,0.188320960547489,"understated",0,0.15,2000,0,0.4145,0,0.339880444064902,0,0.825789923142613,1,0,0.014
12,1,0.7,-0.1,0.372194219158153,"understated",0,0.15,2000,0,0.6525,0,0.648920863309353,0,0.844604316546763,1,0,0.001
13,0.5,0.3,0.1,0,"understated",0,0.15,2000,0,0,NA,0.519,NA,0.9035,1,0,0.015
14,1,0.3,0.1,0,"understated",0,0.15,2000,0,0,NA,0.5545,NA,0.906,1,0,0.0105
15,0.5,0.5,0.1,0.0948723917686763,"understated",0,0.15,2000,0,0.165,0,0.45688622754491,0,0.88502994011976,1,0,0.0085
16,1,0.5,0.1,0.186853393580291,"understated",0,0.15,2000,0,0.2545,0,0.459423205902079,0,0.873910127431254,1,0,0.0115
17,0.5,0.7,0.1,0.188320960547489,"understated",0,0.15,2000,0,0.2415,0,0.457481872116018,0,0.865524060646012,1,0,0.0135
18,1,0.7,0.1,0.372194219158153,"understated",0,0.15,2000,0,0.282,0,0.470055710306407,0,0.86908077994429,1,0,0.012
1,0.5,0.3,-0.3,0,"symmetric",0.1,0.15,2000,0.1075,0,NA,0.244,NA,0.6055,1,0,0.018
2,1,0.3,-0.3,0,"symmetric",0.1,0.15,2000,0.1135,0,NA,0.256,NA,0.6195,1,0,0.0265
3,0.5,0.5,-0.3,0.0948723917686763,"symmetric",0.1,0.15,2000,0.089,0.1035,0.00483091787439614,0.177914110429448,0,0.552704963747909,1,0,0.021
4,1,0.5,-0.3,0.186853393580291,"symmetric",0.1,0.15,2000,0.1,0.256,0.00390625,0.129704301075269,0,0.487231182795699,1,0,0.022
5,0.5,0.7,-0.3,0.188320960547489,"symmetric",0.1,0.15,2000,0.0885,0.235,0.0127659574468085,0.120261437908497,0,0.498692810457516,1,0,0.027
6,1,0.7,-0.3,0.372194219158153,"symmetric",0.1,0.15,2000,0.0985,0.6615,0.00226757369614512,0.116691285081241,0,0.249630723781388,1,0,0.0055
7,0.5,0.3,-0.1,0,"symmetric",0.1,0.15,2000,0.1015,0,NA,0.4885,NA,0.8665,1,0,0.0155
8,1,0.3,-0.1,0,"symmetric",0.1,0.15,2000,0.0995,0,NA,0.518,NA,0.8625,1,0,0.0135
9,0.5,0.5,-0.1,0.0948723917686763,"symmetric",0.1,0.15,2000,0.097,0.203,0.0172413793103448,0.390840652446675,0,0.83375156838143,1,0,0.013
10,1,0.5,-0.1,0.186853393580291,"symmetric",0.1,0.15,2000,0.109,0.432,0.00925925925925926,0.400528169014085,0,0.820422535211268,1,0,0.0115
