"fpr","tpr","diagnostic","target"
0.447812067881889,0.665397416820969,"ess","transport error"
0.453206714143957,0.66972339539026,"ess","transport error"
0.458562071024621,0.674306318199632,"ess","transport error"
0.463961597214592,0.678857410062848,"ess","transport error"
0.469467497185047,0.683114421934799,"ess","transport error"
0.475220954652259,0.687287847684627,"ess","transport error"
0.48060159992984,0.691657830532072,"ess","transport error"
0.486115135324233,0.695903906930398,"ess","transport error"
0.491753442202837,0.700093509478965,"ess","transport error"
0.49735460911612,0.704240904231014,"ess","transport error"
0.502910573742656,0.708389448132322,"ess","transport error"
0.508213705219303,0.712732460641993,"ess","transport error"
0.513483679895347,0.717302815892809,"ess","transport error"
0.518938171476587,0.721751135073278,"ess","transport error"
0.524403953951033,0.725773049888121,"ess","transport error"
0.529587657007571,0.730387181866004,"ess","transport error"
0.534695361366367,0.735255488406375,"ess","transport error"
0.539730950564679,0.739891446895564,"ess","transport error"
0.544404216767159,0.744336021737563,"ess","transport error"
0.548894000086114,0.747967627518408,"ess","transport error"
0.553238375422528,0.751236526635125,"ess","transport error"
0.557592013947096,0.75410669488615,"ess","transport error"
0.561912698290734,0.756432413797494,"ess","transport error"
0.566162552536652,0.758992503978901,"ess","transport error"
0.570532474272625,0.761320113615146,"ess","transport error"
0.574846183727039,0.763443785718247,"ess","transport error"
0.57932290648906,0.765727276812488,"ess","transport error"
0.583738848493466,0.767842332412147,"ess","transport error"
0.588016063511272,0.770069988687786,"ess","transport error"
0.592418354078161,0.772215690437928,"ess","transport error"
0.596817612620928,0.774276127917385,"ess","transport error"
0.600983986556667,0.776501525121841,"ess","transport error"
0.605359412709917,0.778593380927997,"ess","transport error"
0.609626398470326,0.780775968578882,"ess","transport error"
0.614141183138445,0.782652037918545,"ess","transport error"
0.618543891398111,0.784940351695985,"ess","transport error"
0.62286346057939,0.786978727951213,"ess","transport error"
0.627147400218833,0.789105417303577,"ess","transport error"
0.63142502473026,0.791345581238775,"ess","transport error"
0.635880151306112,0.795344044456439,"ess","transport error"
0.64011979102989,0.800297777710966,"ess","transport error"
0.64392565815986,0.80400672465506,"ess","transport error"
0.647656531723344,0.807294281658633,"ess","transport error"
0.651344657022488,0.810279711207982,"ess","transport error"
0.655202622469578,0.813211192431632,"ess","transport error"
0.658896428931927,0.816168128613513,"ess","transport error"
0.662591313428386,0.819331348969454,"ess","transport error"
0.666294464838379,0.82220584166771,"ess","transport error"
0.669886819952253,0.825427341470118,"ess","transport error"
0.673376008392656,0.828497126713499,"ess","transport error"
0.677010558714695,0.831513182067203,"ess","transport error"
0.680559012229388,0.834485910099093,"ess","transport error"
0.684230453950871,0.837275878800155,"ess","transport error"
0.687879179528101,0.840174685934142,"ess","transport error"
0.691438169188358,0.842894418502301,"ess","transport error"
0.694932905633046,0.845632762893687,"ess","transport error"
0.698413856939858,0.848161852739225,"ess","transport error"
0.701803711386075,0.850704854452628,"ess","transport error"
0.705149679123087,0.853238619187097,"ess","transport error"
0.7083761488632,0.85570079420152,"ess","transport error"
0.711473766724788,0.858069007708385,"ess","transport error"
0.714561890738986,0.860173384521152,"ess","transport error"
0.717564132361465,0.862556788283742,"ess","transport error"
0.720450032661525,0.864727754064053,"ess","transport error"
0.723403911648632,0.866703502498524,"ess","transport error"
0.726134345730735,0.868959518671031,"ess","transport error"
0.728921799479062,0.870910451341203,"ess","transport error"
0.731725769186487,0.87284006501386,"ess","transport error"
0.734591782437346,0.874706924882546,"ess","transport error"
0.73733890818024,0.876579199099811,"ess","transport error"
0.740148952997033,0.878428575134558,"ess","transport error"
0.742890786843186,0.880303556526107,"ess","transport error"
0.745589541016723,0.882341795567047,"ess","transport error"
0.748384249160356,0.884243435105401,"ess","transport error"
0.751115835726442,0.885964859555425,"ess","transport error"
0.753752034141441,0.887862175134848,"ess","transport error"
0.756485330076533,0.889609618537746,"ess","transport error"
0.759205981445753,0.891407069465675,"ess","transport error"
0.764918323401932,0.894871500560732,"ess","transport error"
0.772282106412319,0.898970049632976,"ess","transport error"
0.779699695832552,0.902986481085167,"ess","transport error"
