"rule","xvar","drift","n_studies","spread","tau_re","n","k","rate","lo","hi"
"flag_post","x1",0,12,0.6,0.15,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_post","x1",0.3,6,0.25,0,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_post","x1",0.3,6,0.25,0.15,50,5,0.1,0.0434757646567589,0.213602315486132
"flag_post","x1",0.3,6,0.6,0,50,6,0.12,0.0561760011811936,0.238048174954553
"flag_post","x1",0.3,6,0.6,0.15,50,6,0.12,0.0561760011811936,0.238048174954553
"flag_post","x1",0.3,12,0.25,0,50,1,0.02,0.0035392592325046,0.104954436938965
"flag_post","x1",0.3,12,0.25,0.15,50,6,0.12,0.0561760011811936,0.238048174954553
"flag_post","x1",0.3,12,0.6,0,50,8,0.16,0.083374206354009,0.285142161767449
"flag_post","x1",0.3,12,0.6,0.15,50,9,0.18,0.0977019262304215,0.307960537883892
"flag_post","x1",0.6,6,0.25,0,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_post","x1",0.6,6,0.25,0.15,50,5,0.1,0.0434757646567589,0.213602315486132
"flag_post","x1",0.6,6,0.6,0,50,12,0.24,0.142973913373266,0.374126838719613
"flag_post","x1",0.6,6,0.6,0.15,50,16,0.32,0.207582161867525,0.458102974196776
"flag_post","x1",0.6,12,0.25,0,50,6,0.12,0.0561760011811936,0.238048174954553
"flag_post","x1",0.6,12,0.25,0.15,50,14,0.28,0.174741705988143,0.416651238090447
"flag_post","x1",0.6,12,0.6,0,50,20,0.4,0.276083896444286,0.538185623591437
"flag_post","x1",0.6,12,0.6,0.15,50,19,0.38,0.258627892271457,0.51849553177141
"flag_post","x1",1.2,6,0.25,0,50,6,0.12,0.0561760011811936,0.238048174954553
"flag_post","x1",1.2,6,0.25,0.15,50,11,0.22,0.127539159145196,0.352415496954828
"flag_post","x1",1.2,6,0.6,0,50,31,0.62,0.48150446822859,0.741372107728543
"flag_post","x1",1.2,6,0.6,0.15,50,29,0.58,0.442334416633751,0.706249967337671
"flag_post","x1",1.2,12,0.25,0,50,26,0.52,0.385117447901855,0.652028648091001
"flag_post","x1",1.2,12,0.25,0.15,50,23,0.46,0.329696520988216,0.596011287026074
"flag_post","x1",1.2,12,0.6,0,50,44,0.88,0.761951825045447,0.943823998818806
"flag_post","x1",1.2,12,0.6,0.15,50,46,0.92,0.811617529719276,0.968450486130689
"flag_post","x2",0,6,0.25,0,50,2,0.04,0.0110388842281735,0.134600907936151
"flag_post","x2",0,6,0.25,0.15,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_post","x2",0,6,0.6,0,50,3,0.06,0.0206149701884362,0.162170917968744
"flag_post","x2",0,6,0.6,0.15,50,9,0.18,0.0977019262304215,0.307960537883892
"flag_post","x2",0,12,0.25,0,50,4,0.08,0.0315495138693115,0.188382470280724
"flag_post","x2",0,12,0.25,0.15,50,8,0.16,0.083374206354009,0.285142161767449
"flag_post","x2",0,12,0.6,0,50,7,0.14,0.0695083338917044,0.261861938236898
"flag_post","x2",0,12,0.6,0.15,50,9,0.18,0.0977019262304215,0.307960537883892
"flag_post","x2",0.3,6,0.25,0,50,2,0.04,0.0110388842281735,0.134600907936151
